a,een
skyhigh,torenhoog
skylark,veldleeuwerik
skylarks,leeuweriken
skylight,dakraam
skylights,dakramen
skyline,horizon
skylines,skylines
skyscape,schilderij met veel lucht
skyscraper,wolkenkrabber
skyscrapers,wolkenkrabbers
skyward,hemelwaarts
skywards,skywards
slab,plaat
slabs,platen
slack,speling
slacked,gebluste
slacken,vertragen
slackened,verslapte
slackening,verflauwing
slackens,verslapt
slacker,luilak
slackers,slackers
slackest,slapste
slacking,verslappen
slackly,slap
slackness,laksheid
slacks,flanellen broek
slag,slak
slags,slakken
slain,gedood
slake,lessen
slaked,gebluste
slalom,slalom
slaloms,slaloms
slam,dichtslaan
slammed,smeet
slamming,dichtslaan
slams,slams
slander,laster
slandered,belasterd
slanderer,lasteraar
slanderers,lasteraars
slandering,lasteren
slanderous,lasterlijk
slanders,laster
slang,jargon
slanging,scheldpartijen
slant,schuin
slanted,schuine
slanting,schuin
slants,schuine
slantwise,schuin
slap,klap
slapdash,nonchalant
slapped,sloeg
slapper,slapper
slapping,slapping
slaps,slaps
slapstick,slapstick
slash,snijden
slashed,drastisch
slasher,vechtjas
slashes,slashes
slashing,hakken
slat,lat
slate,leisteen
slated,slated
slater,leidekker
slaters,Slaters
slates,leien dak
slating,slating
slats,latten
slatted,lattenbodem
slaughter,slachten
slaughtered,geslacht
slaughterer,slachter
slaughterhouse,slachthuis
slaughterhouses,slachthuizen
slaughtering,slachten
slaughterings,slachtingen
slaughters,slachtingen
slav,Slavisch
slave,slaaf
slaved,gezwoegd
slavedriver,slavendrijver
slavedrivers,slavendrijvers
slaver,slavenhandelaar
slavered,kwijlde
slavering,kwijlende
slavers,slavenhandelaars
slavery,slavernij
slaves,slaven
slavic,Slavisch
slaving,zwoegen
slavish,slaafse
slavishly,slaafs
slavs,Slaven
slay,doden
slayed,slayed
slayer,moordenaar
slayers,slayers
slaying,doden
slays,doodt
sleaze,sleaze
sleazier,sleazier
sleaziest,sleaziest
sleazy,dun
sled,slee
sledding,sleeën
sledge,slee
sledgehammer,voorhamer
sledgehammers,sledgehammers
sledges,sleeën
sledging,sleeën
sleds,sleeën
sleek,glad
sleeker,slanker
sleekly,sleekly
sleekness,sleekness
sleeks,sleeks
sleep,slaap
sleeper,slaper
sleepers,dwarsliggers
sleepier,sleepier
sleepiest,sleepiest
sleepily,slaperig
sleepiness,slaperigheid
sleeping,slapen
sleepless,slapeloos
sleeplessness,slapeloosheid
sleeps,slaapt
sleepwalk,slaapwandelen
sleepwalker,slaapwandelaar
sleepwalking,slaapwandelen
sleepwalks,slaapwandelt
sleepy,slaperig
sleet,ijzel
sleets,sleets
sleeve,mouw
sleeved,mouwen
sleeveless,mouwloos
sleeves,mouwen
sleigh,slee
sleighs,sleeën
sleight,list
sleights,sleights
slender,slank
slenderest,geringste
slenderly,slenderly
slenderness,slankheid
slept,sliep
sleuth,detective
sleuths,sleuths
slew,moeras
slewed,gezwenkt
slewing,zwenkende
slice,plak
sliced,gesneden
slicer,snijmachine
slicers,snijmachines
slices,plakjes
slicing,snijden
slicings,slicings
slick,glad
slicked,slicked
slicker,regenjas
slickest,slickest
slickly,slickly
slickness,handigheid
slicks,slicks
slid,schoof
slide,glijbaan
slided,geschoven
slider,schuif
sliders,sliders
slides,slides
sliding,glijdend
slight,gering
slighted,gekleineerd
slighter,slighter
slightest,geringste
slighting,achterstelling
slightingly,geringschattend
slightly,licht
slights,slights
slily,slily
slim,slank
slime,slijm
slimes,slimes
slimier,slijmeriger
slimiest,slimiest
slimline,slimline
slimly,slimly
slimmed,afgeslankt
slimmer,slanker
slimmers,afvallen
slimmest,dunste
slimming,afslanken
slimness,slankheid
slims,slims
slimy,slijmerig
sling,slinger
slinging,slingerend
slings,stroppen
slingshot,slinger
slink,sluipen
slinking,sluipen
slinky,stiekeme
slip,uitglijden
slippage,slippen
slipped,uitgegleden
slipper,pantoffel
slipperiness,gladheid
slippers,slippers
slippery,glad
slipping,uitglijden
slips,slips
slipshod,slordig
slipstream,slipstream
slipup,slipup
slipway,scheepshelling
slit,spleet
slither,glibberen
slithered,glijdt
slithering,slithering
slithers,slithers
slithery,glibberig
slits,spleten
slitting,snijden
sliver,splinter
slivers,lonten
slob,slob
slobber,kwijlen
slobbering,slobbering
slobbers,kwijlen
slobbery,kwijlerig
slobs,slobs
slog,ploeteren
slogan,leuze
slogans,slogans
slogged,slogged
slogging,ploeteren
slogs,slogs
sloop,sloep
slop,spoeling
slope,helling
sloped,hellend
slopes,hellingen
sloping,hellend
slopped,slopped
sloppier,slordiger
sloppiest,sloppiest
sloppily,slonzig
sloppiness,slordigheid
slopping,slopping
sloppy,slordig
slops,spoelwater
slosh,smeren
sloshed,sloshed
sloshing,klotsen
slot,sleuf
sloth,luiaard
slothful,traag
sloths,luiaards
slots,speelautomaten
slotted,gesleufde
slotting,inlassen
slouch,slungelen
slouched,slouched
slouches,slouches
slouching,slouching
slough,moeras
sloughed,sloughed
sloughing,vervelling
slovak,Slowaaks
slovenia,Slovenië
slovenliness,slordigheid
slovenly,slordig
slow,langzaam
slowcoaches,slowcoaches
slowdown,vertragen
slowed,vertraagd
slower,tragere
slowest,langzaamste
slowing,vertragen
slowish,slowish
slowly,langzaam
slowness,traagheid
slowpoke,treuzel
slows,vertraagt
sludge,modder
sludgy,modderig
slug,naaktslak
sluggard,luiaard
sluggards,luiaards
slugged,slugged
slugging,slugging
sluggish,traag
sluggishly,traag
sluggishness,traagheid
slugs,naaktslakken
sluice,sluis
sluiced,gesluisd
sluices,sluizen
sluicing,spuien
slum,achterbuurt
slumber,sluimeren
slumbered,gesluimerd
slumbering,sluimerende
slumbers,sluimert
slumming,Slumming
slump,malaise
slumped,zakte
slumping,slumping
slumps,inzinkingen
slums,sloppenwijken
slung,slung
slunk,slunk
slur,smet
slurp,slurp
slurped,slurpte
slurping,slurpen
slurps,Slurps
slurred,onduidelijke
slurring,slurring
slurry,slurry
slurs,laster
slush,slush
slushed,slushed
slushes,slushes
slushier,slushier
slushiest,slushiest
slushy,slikkerig
slut,slet
sluts,sletten
sly,sluw
slyer,slyer
slyly,sluw
slyness,sluwheid
smack,slaan
smacked,smakte
smacker,klapzoen
smacking,smakken
smacks,riekt
small,klein
smaller,kleiner
smallest,kleinste
smallholder,kleine boeren
smallholders,kleine boeren
smallholding,smallholding
smallholdings,kleine bedrijven
smallish,nogal klein
smallminded,smallminded
smallmindedness,smallmindedness
smallness,kleinheid
smallpox,pokken
smalls,kniebroek
smallscale,kleinschalige
smalltalk,koetjes en kalfjes
smalltime,korte tijd
smalltown,kleine stad
smart,slim
smarted,smarted
smarten,mooi maken
smartened,opgeknapt
smartening,smartening
smarter,slimmer
smartest,slimste
smarting,schrijnende
smartly,slim
smartness,slimheid
smarts,smarts
smash,intrappen
smashed,vernield
smasher,breekal
smashes,smashes
smashing,smashing
smattering,oppervlakkige kennis
smatterings,smatterings
smear,smeren
smeared,besmeurd
smearing,vegen
smears,uitstrijkjes
smegma,smegma
smell,geur
smellable,ruikbare
smelled,rook
smellier,smellier
smelliest,smelliest
smelling,ruikend
smells,geuren
smelly,stinkend
smelt,spiering
smelted,gesmolten
smelter,smelterij
smelters,smelters
smelting,smelten
smidgeon,smidgeon
smile,glimlach
smiled,glimlachte
smiler,smiler
smilers,Smilers
smiles,glimlacht
smiling,glimlachen
smilingly,glimlachend
smirk,meesmuilen
smirked,grijnsde
smirking,Smirking
smirks,grijnzen
smite,slaan
smith,smid
smithereens,gruizelementen
smiths,smeden
smithy,smederij
smiting,smiting
smitten,getroffen
smock,kiel
smocks,kielen
smog,smog
smoggy,smoggy
smogs,smogs
smoke,rook
smoked,gerookt
smokeless,rookloze
smoker,roker
smokers,rokers
smokes,rookt
smokescreen,rookgordijn
smokestack,schoorsteen
smokestacks,schoorstenen
smokier,smokier
smokiest,smokiest
smokiness,rokerigheid
smoking,roken
smoky,rokerig
smolder,smeulen
smooch,knuffelt
smooth,glad
smoothed,gladgestreken
smoother,gladder
smoothest,soepelste
smoothing,smoothing
smoothly,glad
smoothness,gladheid
smooths,verzacht
smoothtongued,smoothtongued
smote,zij sloegen
smother,smoren
smothered,gesmoord
smothering,verstikking
smothers,verstikt
smoulder,smeulen
smouldered,smeulde
smouldering,smeulende
smoulders,smeult
smudge,vlekken
smudged,vlekken
smudges,vlekken
smudgier,smudgier
smudgiest,smudgiest
smudging,vlekken
smudgy,smoezelig
smug,zelfgenoegzaam
smuggle,smokkelen
smuggled,gesmokkeld
smuggler,smokkelaar
smugglers,smokkelaars
smuggles,smokkelt
smuggling,smokkelen
smugly,zelfvoldaan
smugness,zelfgenoegzaamheid
smut,roetvlek
smuts,smuts
smutty,smerig
snack,snack
snacks,snacks
snaffle,trens
snag,moeilijkheid
snagged,snagged
snagging,vastlopen
snags,haken en ogen
snail,slak
snails,slakken
snake,slang
snaked,kronkelde
snakepit,slangenkuil
snakes,slangen
snakeskin,snakeskin
snaking,snaking
snaky,slangachtig
snap,breuk
snapped,snauwde
snapper,snapper
snappier,snappier
snappily,snappily
snapping,snapping
snappy,pittig
snaps,snaps
snapshot,momentopname
snapshots,snapshots
snare,strik
snared,verstrikt
snares,strikken
snaring,strikken
snarl,grauwen
snarled,snauwde
snarling,snauwen
snarls,snauwt
snatch,rukken
snatched,griste
snatcher,snatcher
snatchers,snatchers
snatches,flarden
snatching,wegrukken
sneak,sluipen
sneaked,sloop
sneakers,sportschoenen
sneakier,geniepiger
sneakiest,sneakiest
sneakily,sneakily
sneaking,sluipen
sneaks,sneaks
sneaky,stiekem
sneer,grijns
sneered,sneerde
sneering,spottend
sneeringly,Honend
sneers,sneers
sneeze,niezen
sneezed,niesde
sneezes,niest
sneezing,niezen
snick,kerf
snide,fals
sniff,snuiven
sniffed,snoof
sniffer,sniffer
sniffers,sniffers
sniffing,snuiven
sniffle,sniffle
sniffles,sniffles
sniffling,sniffling
sniffly,sniffly
sniffs,snuift
snifter,borrel
snigger,giechelen
sniggered,grinnikte
sniggering,gniffelen
sniggers,gniffelt
snip,knip
snipe,watersnip
sniper,scherpschutter
snipers,sluipschutters
snipes,snipes
sniping,snipen
snipped,geknipt
snippet,snipper
snippets,snippets
snipping,knippen
snips,knipt
snits,Snits
snivel,snotteren
snivelling,gesnotter
snob,snob
snobbery,snobisme
snobbish,snobistisch
snobbishly,snobbishly
snobbishness,snobbishness
snobs,snobs
snoek,snoek
snooker,snooker
snoop,snuffelen
snooped,afgeluisterd
snooper,bemoeial
snoopers,snoopers
snooping,snooping
snoops,snoops
snoopy,snoopy
snooze,dutten
snoozed,snoozed
snoozes,snoozes
snoozing,snoozing
snore,snurken
snored,snurkte
snorer,snorker
snorers,snurkers
snores,snurkt
snoring,snurken
snorkel,snorkel
snorkelling,snorkelen
snorkels,snorkels
snort,snuiven
snorted,snoof
snorting,snuiven
snorts,snorts
snotty,snotterig
snout,snuit
snouts,snuiten
snow,sneeuw
snowball,sneeuwbal
snowballed,sneeuwbaleffect
snowballing,snowballing
snowballs,sneeuwballen
snowbound,ingesneeuwd
snowcapped,besneeuwde
snowdrift,sneeuwjacht
snowdrifts,snowdrifts
snowdrop,sneeuwklokje
snowdrops,sneeuwklokjes
snowed,sneeuwde
snowfall,sneeuwval
snowfalls,Het sneeuwt
snowfields,sneeuwvelden
snowflake,sneeuwvlok
snowflakes,sneeuwvlokken
snowier,snowier
snowiest,sneeuwrijkste
snowing,sneeuwen
snowline,sneeuwgrens
snowman,sneeuwman
snowmen,sneeuwpoppen
snowplough,sneeuwploeg
snowploughs,sneeuwruimers
snows,sneeuw
snowstorm,sneeuwbui
snowstorms,sneeuwstormen
snowwhite,Sneeuwwitje
snowy,besneeuwd
snub,afsnauwen
snubbed,afgesnauwd
snubbing,snubbing
snubnosed,snubnosed
snubs,snubs
snuff,snuif
snuffbox,snuifdoos
snuffed,snuffed
snuffing,glad strijken
snuffle,snuffelen
snuffled,snuffelde
snuffles,Snuffles
snuffling,snuffelen
snuffs,snuifsels
snug,knus
snugger,snugger
snuggle,lekker liggen
snuggled,nestelde
snuggles,snuggles
snuggling,vlijen
snugly,nauwsluitend
snugness,behaaglijkheid
so,zo
soak,weken
soaked,geweekt
soaker,soaker
soakers,soakers
soaking,soaking
soakings,soakings
soaks,doorweekt
soandso,zo en zo
soap,zeep
soapbox,zeepkist
soaped,ingezeept
soapier,soapier
soapiest,soapiest
soaping,inzepen
soaps,zepen
soapy,zeepachtig
soar,opstijgen
soared,gestegen
soaring,stijgende
soaringly,soaringly
soars,stijgt
sob,snik
sobbed,snikte
sobbing,snikken
sobbings,sobbings
sober,nuchter
sobered,ontnuchterd
soberer,meer nuchtere
sobering,ontnuchterende
soberly,nuchter
sobers,Sobers
sobriety,soberheid
sobriquet,bijnaam
sobs,snikken
socalled,zogenaamde
soccer,voetbal
sociability,gezelligheid
sociable,sociaal
sociably,gezellig
social,sociaal
socialisation,socialisatie
socialise,socialiseren
socialised,gesocialiseerd
socialising,socialiseren
socialism,socialisme
socialist,socialist
socialistic,socialistisch
socialists,socialisten
socialite,socialite
socially,maatschappelijk
socials,socials
societal,maatschappelijke
societies,samenlevingen
society,maatschappij
sociobiology,sociobiology
sociocultural,sociaal-culturele
socioeconomic,sociaal-economische
sociolinguistic,sociolinguistic
sociolinguistics,sociolinguïstiek
sociolinguists,sociolinguïsten
sociological,sociologische
sociologically,sociologisch
sociologist,socioloog
sociologists,sociologen
sociology,sociologie
sociopolitical,sociopolitical
sock,sok
socked,socked
socket,stopcontact
sockets,sockets
socking,socking
socks,sokken
socrates,Socrates
sod,zode
soda,soda
sodas,frisdrank
sodded,sodded
sodden,doorweekt
soddy,Soddy
sodium,natrium
sodom,Sodom
sodomise,sodomize
sodomised,sodomized
sodomising,sodomizing
sodomite,sodemieter
sodomites,sodomites
sodomy,sodomie
sods,plaggen
sofa,bank
sofas,sofa's
soffit,koof
soft,zacht
softball,softball
softboiled,zacht gekookt
soften,verzachten
softened,verzacht
softener,verzachter
softeners,verzachters
softening,verzachting
softens,verzacht
softer,zachtere
softest,zachtste
softhearted,zachtaardig
softie,softie
softish,softish
softly,zacht
softness,zachtheid
softspoken,zacht gesproken
software,software
softwood,zachte hout
softy,sukkel
soggier,soggier
soggiest,soggiest
soggy,vochtig
soh,soh
soil,bodem
soiled,vuil
soiling,vervuiling
soilings,vervuilingen
soils,bodems
soiree,soiree
sojourn,vertoeven
sojourned,vreemdeling verkeerd
sojourner,sojourner
sojourners,vreemdelingen
sojourning,sojourning
sojourns,verblijfsmogelijkheden
solace,troost
solaces,vertroostingen
solanum,solanum
solar,zonne
solaria,solaria
solarium,solarium
sold,uitverkocht
solder,soldeer
soldered,gesoldeerd
soldering,soldering
solders,soldeer
soldier,soldaat
soldiered,soldiered
soldiering,soldiering
soldierly,krijgshaftig
soldiers,soldaten
soldiery,soldaten
sole,zool
solecism,flater
solecisms,taalfouten
solely,alleen
solemn,plechtig
solemnities,plechtigheden
solemnity,plechtigheid
solemnly,plechtig
solenoid,solenoide
solenoidal,solenoïde
solenoids,spoelen
soler,Soler
soles,zolen
solfa,sol-fa
solicit,vragen
solicitation,verzoek
solicitations,aandringen
solicited,gevraagd
soliciting,tippelen
solicitor,notaris
solicitors,advocaten
solicitous,bezorgd
solicitously,bezorgd
solicits,uitlokt
solicitude,bekommernis
solid,solide
solidarity,solidariteit
solidification,stollen
solidified,gestold
solidifies,stolt
solidify,stollen
solidifying,stollen
solidity,stevigheid
solidly,stevig
solidness,solidness
solids,vaste stoffen
solitaire,patiencespel
solitary,eenzaam
solitude,eenzaamheid
solitudes,eenzaamheid
solo,solo
soloing,soloing
soloist,solist
soloists,solisten
solstice,zonnestilstand
solstices,zonnewenden
solubility,oplosbaarheid
soluble,oplosbaar
solute,oplossing
solutes,opgeloste stoffen
solution,oplossing
solutions,oplossingen
solvable,oplosbaar
solve,oplossen
solved,opgelost
solvency,solvabiliteit
solvent,solvent
solvents,oplosmiddelen
solver,solver
solvers,oplossers
solves,lost
solving,oplossen
soma,soma
somali,Somalisch
somalia,Somalië
somas,SOMA
somatic,somatische
sombre,somber
sombrely,somber
sombreness,sombreness
sombrero,sombrero
some,sommige
somebody,iemand
someday,someday
somehow,hoe dan ook
someone,iemand
somersault,duikelen
somersaulted,somersaulted
somersaulting,salto's
somersaults,salto
something,iets
sometime,ooit
sometimes,soms
someway,someway
someways,sommige manieren
somewhat,enigszins
somewhere,ergens
somnambulist,slaapwandelaar
somnolence,slaperigheid
somnolent,slaperig
son,zoon
sonar,sonar
sonars,sonars
sonata,sonate
sonatas,sonates
sones,sones
song,lied
songbird,zangvogel
songbirds,zangvogels
songbook,songbook
songs,songs
songsters,songsters
songwriter,songwriter
songwriters,songwriters
songwriting,liedjes schrijven
sonic,sonisch
sonically,sonisch
soninlaw,schoonzoon
sonnet,sonnet
sonnets,sonnetten
sonny,zoontje
sonora,sonora
sonorities,klanken
sonority,sonoriteit
sonorous,sonoor
sonorously,sonoor
sonorousness,sonorousness
sons,zonen
sonsinlaw,sonsinlaw
soon,spoedig
sooner,eerder
soonest,afgelopen
soonish,soonish
soot,roet
soothe,kalmeren
soothed,gekalmeerd
soothers,fopspenen
soothes,verzacht
soothing,verzachtend
soothingly,verzachtend
soothsayer,waarzegger
soothsayers,waarzeggers
soothsaying,waarzeggerij
sootier,sootier
soots,roet
sooty,roetachtig
sop,soppen
sophist,sofist
sophisticate,verdraaien
sophisticated,geavanceerde
sophisticates,sophisticates
sophistication,verfijning
sophistry,sofisterij
sophists,sofisten
soporific,slaapwekkend
sopping,soppende
soppy,sopperig
soprano,sopraan
sorbet,sorbet
sorbets,sorbets
sorcerer,tovenaar
sorcerers,tovenaars
sorceress,tovenares
sorcery,tovenarij
sordid,gemeen
sordidly,sordidly
sordidness,vunzig
sore,zeer
sorely,sorely
soreness,pijnlijkheid
sores,zweren
sorghum,sorghum
sorority,vrouwenclub
sorrel,zuring
sorrier,meer spijt
sorriest,sorriest
sorrow,leed
sorrowed,bedroefd
sorrowful,treurig
sorrowfully,jammerlijk
sorrowing,treurende
sorrows,verdriet
sorry,Sorry
sort,soort
sortable,sorteerbaar
sorted,naargelang
sorter,sorteerder
sorters,sorteerders
sortie,uitval
sorties,sorties
sorting,sorteer
sorts,soorten
sos,Sos
soso,middelmatig
sot,dwaas
sotho,sotho
soubriquet,bijnaam
soudan,soudan
souffle,soufflé
sought,gezocht
soughtafter,gewilde
souk,souk
souks,souks
soul,ziel
souldestroying,souldestroying
souled,bezielde
soulful,gevoelvol
soulfully,gevoelvol
soulless,zielloos
souls,zielen
soulsearching,soulsearching
sound,geluid
soundcheck,geluid controle
sounded,klonk
sounder,sirene
soundest,soundest
sounding,klinkend
soundings,peilingen
soundless,geluidloos
soundlessly,geluidloos
soundly,gezond
soundness,soliditeit
soundproof,geluiddicht
soundproofed,geluiddicht
soundproofing,geluidsisolatie
sounds,klanken
soundtrack,soundtrack
soundtracks,soundtracks
soup,soep
soups,soepen
soupy,soeperig
sour,zuur
source,bron
sourced,source
sourceless,een oorsprong
sources,bronnen
sourcing,inkoop
soured,verzuurd
sourest,sourest
souring,verzuren
sourly,zuur
sourness,zuurheid
sours,verzuurt
soused,soused
south,zuiden
southbound,naar het zuiden
southerly,zuidelijk
southern,zuidelijk
southerner,zuiderling
southerners,zuiderlingen
southernmost,zuidelijke
southward,zuidwaarts
southwards,zuidwaarts
souvenir,souvenir
souvenirs,souvenirs
sovereign,soeverein
sovereigns,vorsten
sovereignty,soevereiniteit
soviet,Sovjet
sow,zeug
sowed,zaaide
sower,zaaier
sowers,zaaiers
soweto,soweto
sowing,zaaien
sown,gezaaid
sows,zeugen
soy,sojasaus
soya,soja
soybean,soja
soybeans,soja bonen
spa,spa
space,ruimte
spaceage,ruimtetijdperk
spacecraft,ruimtevaartuig
spaced,afstand
spaceflight,ruimte vlucht
spaceman,ruimtevaarder
spacemen,ruimtevaarders
spacer,spacer
spacers,spacers
spaces,ruimten
spaceship,ruimteschip
spaceships,ruimteschepen
spacesuit,ruimtepak
spacesuits,ruimtepakken
spacey,spacey
spacial,ruimtelijke
spacing,tussenruimte
spacings,afstanden
spacious,ruim
spaciously,ruim
spaciousness,ruimtelijkheid
spade,spade
spaded,spaded
spades,spades
spadework,pionierswerk
spaghetti,spaghetti
spain,Spanje
spam,spam
span,span
spandrels,zwikken
spangle,lovertje
spangled,spangled
spangles,pailletten
spaniel,spaniel
spaniels,spaniels
spanish,Spaans
spank,afranselen
spanked,afgedroogd
spanker,bezaan
spanking,spanking
spankings,spankings
spanks,Spanks
spanned,overspannen
spanner,moersleutel
spanners,spanners
spanning,overspannen
spans,overspanningen
spar,spar
spare,Reserve
spared,gespaard
sparely,sparely
spares,reserveonderdelen
sparetime,vrije tijd
sparing,spaarzaam
sparingly,spaarzaam
spark,vonk
sparked,aangewakkerd
sparking,vonken
sparkle,fonkeling
sparkled,schitterde
sparkler,sterretje
sparklers,sterretjes
sparkles,sparkles
sparkling,mousserend
sparklingly,sprankelend
sparkly,sparkly
sparks,vonken
sparred,sparred
sparring,sparring
sparrow,mus
sparrowhawk,sperwer
sparrows,mussen
spars,rondhouten
sparse,dun
sparsely,spaarzaam
sparseness,schaarsheid
sparser,schaarser
sparsest,sparsest
sparsity,sparsity
sparta,Sparta
spartan,spartaans
spartans,spartans
spas,kuuroorden
spasm,spasme
spasmodic,krampachtig
spasmodically,krampachtig
spasms,spasmen
spastic,spastisch
spastics,spastische
spat,slobkous
spate,stortvloed
spatial,ruimtelijke
spatially,ruimtelijk
spats,korte slobkousen
spatter,spatten
spattered,bespatte
spattering,spatten
spatters,spatten
spatula,spatel
spatulas,spatels
spawn,paaien
spawned,voortgebracht
spawning,kuitschieten
spawns,spawns
spay,castreer
spayed,gesteriliseerd
spaying,castratie
spays,spays
speak,spreken
speakable,Speakable
speaker,spreker
speakers,speakers
speaking,sprekend
speaks,spreekt
spear,speer
speared,gespietst
spearhead,speerpunt
spearheaded,speerpunt
spearheading,de spits
spearheads,speerpunten
spearing,spearing
spears,speren
spec,spec
special,speciaal
specialisation,specialisatie
specialisations,specialisaties
specialise,specializeren
specialised,gespecialiseerde
specialises,specialiseert
specialising,gespecialiseerd
specialism,specialisme
specialisms,specialismen
specialist,specialist
specialists,specialisten
specialities,specialiteiten
speciality,specialiteit
specially,speciaal
specialness,specialness
specials,specials
specialty,specialiteit
speciation,soortvorming
species,soorten
specifiable,bepaalbare
specifiably,specifiably
specific,specifiek
specifically,specifiek
specification,specificatie
specifications,bestek
specificities,specificiteiten
specificity,specificiteit
specificness,specificness
specifics,bijzonderheden
specified,gespecificeerd
specifier,specifier
specifiers,bestekschrijvers
specifies,specificeert
specify,specificeren
specifying,specificeren
specimen,specimen
specimens,specimens
specious,schoonschijnend
speck,vlek
speckle,spikkel
speckled,bont
speckles,spikkels
specks,vlekjes
specs,bril
spectacle,schouwspel
spectacles,bril
spectacular,spectaculaire
spectacularly,spectaculair
spectaculars,spectaculars
spectator,toeschouwer
spectators,toeschouwers
spectra,spectra
spectral,spectraal
spectre,spook
spectres,spoken
spectrogram,spectrogram
spectrograph,spectrograaf
spectrometer,spectrometer
spectrometers,spectrometers
spectrometric,spectrometrische
spectrometry,spectrometrie
spectrophotometer,spectrofotometer
spectrophotometers,spectrofotometers
spectrophotometry,spectrofotometrie
spectroscope,spectroscoop
spectroscopes,spectroscopen
spectroscopic,spectroscopische
spectroscopically,spectroscopisch
spectroscopy,spectroscopie
spectrum,spectrum
specular,spiegelende
speculate,speculeren
speculated,speculeerde
speculates,speculeert
speculating,speculeren
speculation,speculatie
speculations,speculaties
speculative,speculatieve
speculatively,speculatief
speculator,speculant
speculators,speculanten
speculum,speculum
sped,versneld
speech,toespraak
speeches,speeches
speechifying,speechifying
speechless,sprakeloos
speechlessly,sprakeloos
speed,snelheid
speedboat,speedboot
speedboats,speedboten
speedcop,speedcop
speeded,versneld
speedier,snellere
speediest,snelste
speedily,snel
speeding,te hard rijden
speedometer,snelheidsmeter
speedometers,snelheidsmeters
speeds,snelheden
speedup,versnellen
speedway,speedway
speedwell,ereprijs
speedy,snel
spell,spellen
spellable,spellable
spellbinder,Spellbinder
spellbinding,betoverende
spellbound,als betoverd
spelled,spelt
speller,speller
spellers,spellers
spelling,spelling
spellings,spellingen
spells,spreuken
spelt,spelt
spencer,spencer
spend,besteden
spender,verkwister
spenders,spenders
spending,uitgaven
spends,besteedt
spendthrift,verkwister
spent,doorgebracht
spermatozoa,spermatozoa
spew,spuwen
spewed,uitgespuwd
spewing,spuwen
spews,spuwt
sphagnum,veenmos
sphere,gebied
spheres,bollen
spheric,sferisch
spherical,bolvormig
spherically,sferisch
spheroid,sferoïde
spheroidal,sferoïdaal
sphincter,sluitspier
sphincters,sluitspieren
sphinx,sfinx
sphygmomanometer,bloeddrukmeter
spice,kruid
spiced,gekruid
spicer,spicer
spicery,spicery
spices,kruiden
spicier,pittiger
spicily,spicily
spicing,spicing
spicy,gekruid
spider,spin
spiders,spiders
spidery,spinne
spied,bespioneerd
spies,spionnen
spigot,zwikje
spike,aar
spiked,spits
spikes,spikes
spikier,spikier
spikiest,spikiest
spiking,vastspijkeren
spiky,puntig
spill,morsen
spillage,morsen
spillages,morsen
spilled,gemorst
spiller,Spiller
spilling,morsen
spills,morsen
spilt,gemorst
spin,spinnen
spinach,spinazie
spinal,spinal
spindle,spil
spindles,spindels
spindly,spichtig
spindrier,spindrier
spindriers,spindriers
spindrift,vlokschuim
spindry,spindry
spine,wervelkolom
spinechilling,spinechilling
spineless,ongewerveld
spines,stekels
spinet,spinet
spinnaker,spinnaker
spinner,spinner
spinners,spinners
spinney,bosje
spinning,spinnen
spinoff,spin-off
spinoffs,spin-offs
spins,spins
spinster,oude vrijster
spinsterhood,spinsterhood
spinsters,vrijsters
spiny,doornig
spiral,spiraal
spiralled,spiraalsgewijs
spiralling,spiraal
spirally,spiraalvormig
spirals,spiralen
spirant,spirant
spirants,spiranten
spire,torenspits
spires,spitsen
spirit,geest
spirited,levendig
spiritedl,spiritedl
spiritedly,spiritedly
spiritless,terneergeslagen
spirits,spiritualiën
spiritual,geestelijk
spiritualised,vergeestelijkte
spiritualism,spiritualisme
spiritualist,spiritist
spiritualists,spiritisten
spirituality,geestelijkheid
spiritually,geestelijk
spirituals,spirituals
spit,spit
spite,wrok
spiteful,hatelijk
spitefully,spitefully
spitfire,driftkop
spitfires,spitfires
spits,spitten
spitting,spugen
spittle,speeksel
spittoon,kwispedoor
spittoons,kwispedoor
splash,plons
splashdown,op water dalen
splashed,bespat
splashes,spatten
splashing,spatten
splashy,splashy
splat,splat
splatter,geklater
splattered,spetterde
splattering,ploeteren
splayed,gespreide
splaying,splaying
spleen,milt
spleens,milt
splendid,geweldig
splendidly,prachtig
splendour,pracht
splendours,splendours
splenetic,zwaarmoedig
splice,verbinding
spliced,gesplitst
splicer,splicer
splicers,plakpersen
splices,lassen
splicing,splicing
spline,spline
splines,splines
splint,spalk
splinted,gespalkt
splinter,splinter
splintered,versplinterd
splintering,versplintering
splinters,splinters
splints,spalken
split,spleet
splits,splits
splittable,deelbare
splitter,splitter
splitters,splitters
splitting,splitsing
splittings,splittings
splodge,smet
splodges,splodges
splotches,vlekken
splurge,pralerij
splutter,sputteren
spluttered,sputterde
spluttering,proestend
splutters,sputtert
spoil,buit
spoilage,bederf
spoiled,verwend
spoiler,spoiler
spoilers,spoilers
spoiling,bederven
spoils,buit
spoilsport,spelbreker
spoilt,verwend
spoke,spaak
spoken,mondeling
spokes,spaken
spokeshave,spokeshave
spokeshaves,spookschaaf
spokesman,woordvoerder
spokesmen,woordvoerders
spokespeople,woordvoerders
spokesperson,woordvoerder
spokespersons,woordvoerders
spokeswoman,woordvoerster
spokeswomen,spokeswomen
sponge,spons
